SORRO  AA-579-PJ;Start;Destination;Fuel Cost (CFA);Road Fees (CFA)+Police;Total Expense;Tonnage (T);Total Gross (CFA);Total Net ;COMMENTAIRE;KM;;;;
jeudi 11 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;56,74;453 920CFA;296 720CFA;;45 767km;;;;
vendredi 12 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;55,78;446 240CFA;289 040CFA;;46 131km;;;;
samedi 13 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;52,18;417 440CFA;260 240CFA;;46 511km;;;;
dimanche 14 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;33 300CFA;168 300CFA;64,16;513 280CFA;344 980CFA;10K Police document;46 877km;;;;
lundi 15 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;51,64;413 120CFA;255 920CFA;;47 267km;;;;
mardi 16 septembre 25;LAUZOUA;ABIDJAN;0CFA;3 000CFA;3 000CFA;0,00;0CFA;-3 000CFA;Minning Close till 19 september 3K drivers transport;;;;;
mercredi 17 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;15 000CFA;150 000CFA;0,00;0CFA;-150 000CFA;10K washing 5k Grease;;;;;
jeudi 18 septembre 25;LAUZOUA;ABIDJAN;0CFA;22 200CFA;22 200CFA;50,98;407 840CFA;385 640CFA;;47 682km;;;;
vendredi 19 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;52,50;420 000CFA;262 800CFA;;48 061km;;;;
samedi 20 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;56,78;454 240CFA;297 040CFA;;48 441km;;;;
dimanche 21 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;52,48;419 840CFA;262 640CFA;;48 834km;;;;
lundi 22 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;53,12;424 960CFA;267 760CFA;;49 205km;;;;
mardi 23 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;58,36;466 880CFA;309 680CFA;;49 576km;;;;
mercredi 24 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;59,30;474 400CFA;319 200CFA;;49 969km;;;;
jeudi 25 septembre 25;LAUZOUA;SAN PEDRO;170 000CFA;15 150CFA;185 150CFA;58,58;468 640CFA;283 490CFA;;50 366km;;;;
vendredi 26 septembre 25;LAUZOUA;SAN PEDRO;195 811CFA;19 190CFA;215 001CFA;59,60;476 800CFA;261 799CFA;4K Tires probleme;59 757km;;;;
samedi 27 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;58,24;465 920CFA;315 770CFA;;51 144km;;;;
dimanche 28 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;63,38;507 040CFA;356 890CFA;;51 531km;;;;
lundi 29 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;58,50;468 000CFA;317 850CFA;;51 918km;;;;
mardi 30 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;58,36;466 880CFA;316 730CFA;;52 306km;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;590000;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;3 920 811CFA;632 210CFA;4 553 021CFA;1 570,30;12 562 400CFA;8 009 379CFA;;;;;;
;;;$6 534,69;$1 053,68;$7 588,37;;$20 937,33;$13 348,97;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 01/09/2025 TRIP            30/09/2025   Km                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
mercredi 1 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;60,80;486 400CFA;336 250CFA;;52 693km;;;;
jeudi 2 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;62,08;496 640CFA;346 490CFA;;53 084km;;;;
vendredi 3 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;18 180CFA;153 180CFA;60,28;482 240CFA;329 060CFA;;53 467km;;;;
samedi 4 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;57,04;456 320CFA;306 170CFA;;53 854km;;;;
dimanche 5 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;5 050CFA;140 050CFA;0,00;0CFA;-140 050CFA;No transport Minning close till 09/10;;;;;
lundi 6 octobre 25;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
mardi 7 octobre 25;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
mercredi 8 octobre 25;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
jeudi 9 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;56,70;453 600CFA;303 450CFA;;54 243km;;;;
vendredi 10 octobre 25;LAUZOUA;SAN PEDRO;;5 050CFA;5 050CFA;0,00;0CFA;-5 050CFA;No transport minning machine problem;;;;;
samedi 11 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;54,40;435 200CFA;285 050CFA;;54 632km;;;;
dimanche 12 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;55,08;440 640CFA;290 490CFA;;55 019km;;;;
lundi 13 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 025CFA;155 025CFA;54,18;433 440CFA;278 415CFA;5k The tarpaulin covering the truck ripped;55 407km;;;;
mardi 14 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;57,76;462 080CFA;311 930CFA;;55 800km;;;;
mercredi 15 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;53,96;431 680CFA;281 530CFA;;56 177km;;;;
jeudi 16 octobre 25;;;;;;;;;;;;;;
vendredi 17 octobre 25;;;;;;;;;;;;;;
samedi 18 octobre 25;;;;;;;;;;;;;;
dimanche 19 octobre 25;;;;;;;;;;;;;;
lundi 20 octobre 25;;;;;;;;;;;;;;
mardi 21 octobre 25;;;;;;;;;;;;;;
mercredi 22 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;55,00;440 000CFA;289 850CFA;;56 571km;;;;
jeudi 23 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;50,58;404 640CFA;254 490CFA;;56 956km;;;;
vendredi 24 octobre 25;;;;;;;;;;;;;;
samedi 25 octobre 25;;;;;;;;;;;;;;
dimanche 26 octobre 25;;;;;;;;;;;;;;
lundi 27 octobre 25;;;;;;;;;;;;;;
mardi 28 octobre 25;;;;;;;;;;;;;;
mercredi 29 octobre 25;;;;;;;;;;;;;;
jeudi 30 octobre 25;;;;;;;;;;;;;;
vendredi 31 octobre 25;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;1 755 000CFA;199 805CFA;1 954 805CFA;677,86;5 422 880CFA;3 468 075CFA;;;;;;
;;;$2 925,00;$333,01;$3 258,01;;9 038CFA;$5 780,13;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 01/10/2025 TRIP            31/10/2025   Km                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
No transport Before 10 November;;;;;;;;;;;;;;
lundi 10 novembre 25;Abidjan;Lauzoua;134 200CFA;35 350CFA;169 550CFA;;;;;;;;;
mardi 11 novembre 25;Lauzoua;San Pedro;;;0CFA;;;;;;;;;
mercredi 12 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;51,82;414 560CFA;264 410CFA;;57 737km;;;;
jeudi 13 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;54,48;435 840CFA;285 690CFA;;58 125km;;;;
vendredi 14 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;55,14;441 120CFA;290 970CFA;;58 508km;;;;
samedi 15 novembre 25;Lauzoua;San Pedro;135 000CFA;20 200CFA;155 200CFA;56,70;453 600CFA;298 400CFA;5K TRUCK'S BACKS DOOR FIXING;58 909km;;;;
dimanche 16 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;54,70;437 600CFA;287 450CFA;;59 296km;;;;
lundi 17 novembre 25;Lauzoua;San Pedro;80 080CFA;15 150CFA;95 230CFA;57,78;462 240CFA;367 010CFA;;59 681km;;;;
mardi 18 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;61,52;492 160CFA;342 010CFA;;60 063km;;;;
mercredi 19 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;60,10;480 800CFA;330 650CFA;;60 447km;;;;
jeudi 20 novembre 25;Lauzoua;San Pedro;236 250CFA;20 200CFA;256 450CFA;65,02;520 160CFA;263 710CFA;5050 TIPS FOR EXTRA CHARGE AT MINNING + 60T;60 835km;;;;
vendredi 21 novembre 25;Lauzoua;San Pedro;;6 060CFA;;;;;;;;;;
samedi 22 novembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
dimanche 23 novembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
lundi 24 novembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
mardi 25 novembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
mercredi 26 novembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
jeudi 27 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;63,24;505 920CFA;355 770CFA;;61 222km;;;;
vendredi 28 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;61,50;492 000CFA;341 850CFA;;61 610km;;;;
samedi 29 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;65,52;524 160CFA;374 010CFA;;61 984km;;;;
dimanche 30 novembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;56,52;452 160CFA;302 010CFA;;62 373km;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;1 938 455CFA;248 793CFA;$2 177 930,00;764,04;6 112 320CFA;$4 103 940,00;;;;;;
;;;$3 230,76;$414,66;$3 629,88;;10 187CFA;$6 839,90;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 10/11/2025 TRIP            30/10/2025   Km                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
lundi 1 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;62,90;503 200CFA;353 050CFA;;62 373km;;;;
mardi 2 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
mercredi 3 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
jeudi 4 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
vendredi 5 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
samedi 6 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
dimanche 7 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
lundi 8 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
mardi 9 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
mercredi 10 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;57,60;460 800CFA;310 650CFA;;63 148km;;;;
jeudi 11 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;61,66;493 280CFA;343 130CFA;;63 533km;;;;
vendredi 12 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;63,30;506 400CFA;356 250CFA;;;;;;
samedi 13 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;58,32;466 560CFA;316 410CFA;;;;;;
dimanche 14 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;60,70;485 600CFA;335 450CFA;;;;;;
lundi 15 décembre 25;Lauzoua;San Pedro;135 000CFA;27 650CFA;162 650CFA;116,58;932 640CFA;769 990CFA;Sorro 2 trips;65 070km;;;;
mardi 16 décembre 25;Lauzoua;San Pedro;270 000CFA;27 650CFA;297 650CFA;127,20;1 017 600CFA;719 950CFA;Sorro 2 trips;66 225km;;;;
mercredi 17 décembre 25;Lauzoua;San Pedro;270 000CFA;15 150CFA;285 150CFA;59,22;473 760CFA;188 610CFA;;66 598km;;;;
jeudi 18 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;66,52;532 160CFA;382 010CFA;;66 984km;;;;
vendredi 19 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;57,50;460 000CFA;309 850CFA;;67 367km;;;;
samedi 20 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;56,40;451 200CFA;301 050CFA;;67 751km;;;;
dimanche 21 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;60,00;480 000CFA;329 850CFA;;68 139km;;;;
lundi 22 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;61,56;492 480CFA;342 330CFA;;68 534km;;;;
mardi 23 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;51,00;408 000CFA;257 850CFA;;;;;;
mercredi 24 décembre 25;Lauzoua;San Pedro;;5 050CFA;5 050CFA;;0CFA;-5 050CFA;;;;;;
jeudi 25 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;54,98;439 840CFA;289 690CFA;;;;;;
vendredi 26 décembre 25;Lauzoua;San Pedro;;5 050CFA;5 050CFA;;0CFA;-5 050CFA;;;;;;
samedi 27 décembre 25;Lauzoua;San Pedro;;5 050CFA;5 050CFA;;0CFA;-5 050CFA;;;;;;
dimanche 28 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;150 150CFA;57,02;456 160CFA;306 010CFA;;69 703km;;;;
lundi 29 décembre 25;Lauzoua;San Pedro;;5 050CFA;5 050CFA;;;;;;;;;
mardi 30 décembre 25;Lauzoua;San Pedro;135 000CFA;20 200CFA;155 200CFA;64,40;515 200CFA;360 000CFA;;;;;;
mercredi 31 décembre 25;Lauzoua;San Pedro;0CFA;;0CFA;66,38;531 040CFA;531 040CFA;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;2 700 000CFA;322 950CFA;3022950;1 263,24;10 105 920CFA;7 088 020CFA;;;;;;
;;;$4 500,00;$538,25;$5 038,25;;$18 046,29;$12 657,18;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 01/12/2025 TRIP            31/12/2025   Km                 Total distance for Trip   Km;;;;;;;;;;